type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Combo Priest,3780,0.547,3100,6.6,Circle of Healing,Silence,Topsy Turvy,Beaming Sidekick,Inner Fire,Lightwarden,Northshire Cleric,Power Word: Shield,Divine Spirit,Injured Tol'vir,Neferset Ritualist,Wild Pyromancer,Acolyte of Pain,Extra Arms,Injured Blademaster,High Priest Amet,Psychopomp,,,,,,,,,,,,,,1695.7,Priest
Highlander Galakrond Rogue,18820,0.547,2900,8.8,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Bone Wraith,Devoted Maniac,Lifedrinker,Spirit of the Shark,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,1586.3000000000002,Rogue
Highlander Mage,20820,0.547,4900,8.9,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Spellbreaker,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Mountain Giant,2680.3,Mage
Galakrond Rogue,10560,0.546,5000,8.6,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,2730.0,Rogue
Galakrond Zoo Warlock,7720,0.546,1000,6.8,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,546.0,Warlock
Galakrond Warrior,6360,0.546,1000,7.5,Inner Rage,Eternium Rover,Risky Skipper,Town Crier,Battle Rage,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,,546.0,Warrior
Hand Warlock,12840,0.546,3700,7.5,Mortal Coil,Soulfire,Neferset Ritualist,Nether Breath,Sunfury Protector,Bad Luck Albatross,Dark Skies,Faceless Rager,Scalerider,Shadowflame,Twilight Drake,Crazed Netherwing,Leeroy Jenkins,Snapjaw Shellfighter,Zilliax,Abyssal Summoner,Evasive Drakonid,Lord Godfrey,Siamat,Valdris Felgorge,Alexstrasza,Mountain Giant,,,,,,,,,2020.2,Warlock
Embiggen Druid,8180,0.546,4100,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,2238.6000000000004,Druid
Highlander Galakrond Rogue,18580,0.546,4900,8.5,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Underbelly Fence,Zephrys the Great,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Escaped Manasaber,Vendetta,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,2675.4,Rogue
Token Druid,4800,0.546,1800,5.8,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Swipe,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,982.8000000000001,Druid
Highlander Mage,20780,0.546,1200,9.5,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Escaped Manasaber,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,The Amazing Reno,Mountain Giant,655.2,Mage
Quest Resurrect Priest,11900,0.546,1600,10.1,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,873.6,Priest
Galakrond Rogue,13860,0.546,3300,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,1801.8000000000002,Rogue
Embiggen Druid,8120,0.546,2400,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,,1310.4,Druid
Highlander Warrior,18380,0.546,1000,13.1,Eternium Rover,Shield Slam,Town Crier,Dragon Roar,Firetree Witchdoctor,Warpath,Weapons Project,Zephrys the Great,EVIL Quartermaster,Livewire Lance,Ramming Speed,Shield Block,SN1P-SN4P,Vulpera Scoundrel,Molten Breath,Omega Devastator,Restless Mummy,War Master Voone,Brawl,Dragonmaw Scorcher,Dyn-o-matic,Emberscale Drake,Harrison Jones,Plague of Wrath,Supercollider,Zilliax,Siamat,"Deathwing, Mad Aspect","Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,546.0,Warrior
Highlander Galakrond Rogue,17200,0.546,1400,9.2,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Hench-Clan Burglar,Spirit of the Shark,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,764.4000000000001,Rogue
Galakrond Rogue,13920,0.546,6100,9.0,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,3330.6000000000004,Rogue
Galakrond Warrior,8140,0.546,1300,7.0,Inner Rage,Eternium Rover,Town Crier,Battle Rage,Cruel Taskmaster,Dragon Breeder,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,709.8000000000001,Warrior
Embiggen Druid,9920,0.546,3600,7.4,Embiggen,Strength in Numbers,Breath of Dreams,Injured Tol'vir,SN1P-SN4P,Witching Hour,Archmage Vargoth,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Witchwood Grizzly,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,Oondasta,,,,,,,,,,,,,1965.6000000000001,Druid
Embiggen Druid,9740,0.546,1100,6.5,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,SN1P-SN4P,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,600.6,Druid
Galakrond Rogue,13560,0.545,2700,8.8,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Boompistol Bully,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1471.5,Rogue
Galakrond Rogue,18700,0.545,1000,8.9,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Bone Wraith,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,545.0,Rogue
Embiggen Druid,9660,0.545,2800,7.1,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Rising Winds,SN1P-SN4P,Witching Hour,Archmage Vargoth,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,1526.0,Druid
Galakrond Warrior,6480,0.545,1000,7.7,Inner Rage,Risky Skipper,Town Crier,Armorsmith,Battle Rage,Ritual Chopper,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Frenzied Felwing,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,,545.0,Warrior
Murloc Paladin,10840,0.545,3600,5.9,Grimscale Oracle,Murloc Tidecaller,Murmy,Toxfin,Bluegill Warrior,Fishflinger,Sir Finley of the Sands,Zephrys the Great,Coldlight Seer,Murloc Warleader,Nightmare Amalgam,Murloc Tastyfin,Prismatic Lens,Truesilver Champion,Leeroy Jenkins,Skyfin,Tip the Scales,Dragonqueen Alexstrasza,,,,,,,,,,,,,1962.0000000000002,Paladin
Hand Warlock,17720,0.545,5300,8.1,Mortal Coil,Soulfire,Bloodmage Thalnos,Doomsayer,Nether Breath,Sunfury Protector,Zephrys the Great,Dark Skies,Scalerider,Frizz Kindleroost,Twilight Drake,Crazed Netherwing,Zilliax,Abyssal Summoner,Aranasi Broodmother,Khartut Defender,Lord Godfrey,Valdris Felgorge,Twisting Nether,Zzeraku the Warped,Alexstrasza,Malygos,Mountain Giant,,,,,,,,2888.5,Warlock
Galakrond Warlock,12680,0.544,7300,9.7,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Dark Skies,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Abyssal Summoner,Kronx Dragonhoof,"Galakrond, the Wretched",Twisting Nether,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,,3971.2000000000003,Warlock
Galakrond Rogue,12260,0.544,2100,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1142.4,Rogue
Galakrond Rogue,13760,0.544,1000,8.5,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,544.0,Rogue
Highlander Hunter,15440,0.544,17000,6.5,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Injured Tol'vir,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Escaped Manasaber,Evasive Feywing,Frenzied Felwing,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,9248.0,Hunter
Dragon Hunter,7400,0.544,9800,5.8,Blazing Battlemage,Dwarven Sharpshooter,Tracking,Corrosive Breath,Explosive Trap,Faerie Dragon,Phase Stalker,Snake Trap,Primordial Explorer,Scalerider,SN1P-SN4P,Stormhammer,Dragonbane,Evasive Feywing,Lifedrinker,Leeroy Jenkins,Rotnest Drake,,,,,,,,,,,,,,5331.200000000001,Hunter
Highlander Warrior,17980,0.5429999999999999,1400,13.1,Eternium Rover,Shield Slam,Town Crier,Frightened Flunky,Warpath,Weapons Project,Zephrys the Great,Bomb Wrangler,EVIL Quartermaster,Livewire Lance,Shield Block,SN1P-SN4P,Vulpera Scoundrel,Molten Breath,Omega Devastator,Restless Mummy,War Master Voone,Brawl,Cobalt Spellkin,Dragonmaw Scorcher,Dyn-o-matic,Emberscale Drake,Harrison Jones,Plague of Wrath,Supercollider,Zilliax,Siamat,"Deathwing, Mad Aspect","Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,760.1999999999999,Warrior
Quest Druid,10660,0.5429999999999999,2400,8.6,Innervate,Crystal Power,Untapped Potential,Worthy Expedition,Crystal Merchant,Power of the Wild,Rising Winds,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Keeper of the Grove,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,Cenarius,"Ysera, Unleashed",,,,,,,,,,,1303.1999999999998,Druid
Highlander Warrior,17980,0.5429999999999999,1200,12.4,Eternium Rover,Shield Slam,Town Crier,Dragon Roar,Warpath,Weapons Project,Zephrys the Great,Bomb Wrangler,EVIL Quartermaster,Livewire Lance,Ramming Speed,Shield Block,SN1P-SN4P,Dragonmaw Poacher,Molten Breath,Omega Devastator,Restless Mummy,War Master Voone,Brawl,Dragonmaw Scorcher,Dyn-o-matic,Emberscale Drake,Harrison Jones,Plague of Wrath,Supercollider,Zilliax,Siamat,"Deathwing, Mad Aspect","Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,651.5999999999999,Warrior
Quest Resurrect Priest,11600,0.5429999999999999,1500,10.1,Forbidden Words,Activate the Obelisk,Penance,Seance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,814.4999999999999,Priest
Highlander Mage,19220,0.5429999999999999,1900,8.9,Arcane Breath,Ray of Frost,Acidic Swamp Ooze,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Bad Luck Albatross,Frost Nova,Scalerider,SN1P-SN4P,Stargazer Luna,Conjurer's Calling,Spellbreaker,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,Mountain Giant,1031.6999999999998,Mage
Face Hunter,3480,0.5429999999999999,3000,5.6,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,1628.9999999999998,Hunter
Highlander Mage,20380,0.5429999999999999,1400,9.4,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Amplifier,Arcane Intellect,Bad Luck Albatross,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,The Amazing Reno,760.1999999999999,Mage
Highlander Warrior,16380,0.5429999999999999,4000,13.0,Eternium Rover,Shield Slam,Town Crier,Whirlwind,Dragon Roar,Firetree Witchdoctor,Warpath,Weapons Project,Zephrys the Great,Bomb Wrangler,EVIL Quartermaster,Livewire Lance,Shield Block,SN1P-SN4P,Vulpera Scoundrel,Molten Breath,Omega Devastator,Restless Mummy,Brawl,Cobalt Spellkin,Dragonmaw Scorcher,Dyn-o-matic,Harrison Jones,Plague of Wrath,Supercollider,Zilliax,Siamat,"Deathwing, Mad Aspect","Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,2171.9999999999995,Warrior
Galakrond Rogue,12160,0.5429999999999999,2400,8.2,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,The Black Knight,"Galakrond, the Nightmare",,,,,,,,,,,,1303.1999999999998,Rogue
Highlander Mage,20880,0.542,1600,8.5,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Dragonmaw Poacher,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Mountain Giant,867.2,Mage
Galakrond Warlock,14240,0.542,18000,9.7,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Dark Skies,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Lord Godfrey,Twisting Nether,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,,9756.0,Warlock
Highlander Mage,20720,0.542,4000,8.7,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Fireball,Spellbreaker,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Mountain Giant,2168.0,Mage
Galakrond Rogue,13760,0.542,1100,8.5,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Spirit of the Shark,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,596.2,Rogue
Galakrond Warrior,6420,0.542,3600,7.6,Inner Rage,Risky Skipper,Town Crier,Armorsmith,Battle Rage,Ritual Chopper,Temple Berserker,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,1951.2,Warrior
Galakrond Warlock,14240,0.542,8200,9.6,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Dark Skies,Dragonblight Cultist,SN1P-SN4P,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Twisting Nether,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,,4444.400000000001,Warlock
Control Warrior,14080,0.542,3600,12.4,Eternium Rover,Omega Assembly,Shield Slam,Town Crier,Whirlwind,Cruel Taskmaster,Dragon Roar,Frightened Flunky,Warpath,Weapons Project,Zephrys the Great,EVIL Quartermaster,Shield Block,SN1P-SN4P,Bone Wraith,Omega Devastator,Restless Mummy,Spellbreaker,Big Ol' Whelp,Brawl,Dragonmaw Scorcher,Dyn-o-matic,Emberscale Drake,Plague of Wrath,Supercollider,Zilliax,"Deathwing, Mad Aspect",Grommash Hellscream,"Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,1951.2,Warrior
Highlander Galakrond Rogue,17320,0.542,12000,8.5,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Lifedrinker,Spirit of the Shark,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Dragonqueen Alexstrasza,6504.0,Rogue
Galakrond Rogue,10760,0.541,1100,8.2,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Questing Adventurer,Seal Fate,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,595.1,Rogue
Zoo Warlock,4280,0.541,7000,6.1,Abusive Sergeant,Beaming Sidekick,Fiendish Servant,Flame Imp,Grim Rally,Mecharoo,Sinister Deal,The Soularium,Voidwalker,Dire Wolf Alpha,EVIL Genius,Knife Juggler,Scarab Egg,EVIL Recruiter,Magic Carpet,Sea Giant,,,,,,,,,,,,,,,3787.0000000000005,Warlock
Galakrond Rogue,10660,0.541,2000,8.6,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1082.0,Rogue
Quest Resurrect Priest,11460,0.541,1100,10.6,Forbidden Words,Activate the Obelisk,Penance,Shadow Word: Pain,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,595.1,Priest
Galakrond Rogue,18700,0.541,2000,8.7,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Hench-Clan Burglar,Spirit of the Shark,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,1082.0,Rogue
Embiggen Druid,8280,0.541,1000,7.6,Embiggen,Acornbearer,Strength in Numbers,Breath of Dreams,Crystal Merchant,Firetree Witchdoctor,Vicious Scalehide,Nightmare Amalgam,Vulpera Scoundrel,Frizz Kindleroost,Faceless Corruptor,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Batterhead,,,,,,,,,,,,,,,541.0,Druid
Highlander Mage,20080,0.541,2700,10.0,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Amplifier,Arcane Intellect,Bad Luck Albatross,Frost Nova,SN1P-SN4P,Stargazer Luna,Bone Wraith,Conjurer's Calling,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,The Amazing Reno,1460.7,Mage
Galakrond Rogue,11080,0.541,2000,9.7,Backstab,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Underbelly Fence,Blink Fox,Edwin VanCleef,Seal Fate,SI:7 Agent,Devoted Maniac,Hench-Clan Burglar,Vendetta,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,1082.0,Rogue
Murloc Paladin,8980,0.541,1500,5.8,Grimscale Oracle,Murloc Tidecaller,Murmy,Toxfin,Bluegill Warrior,Fishflinger,Sir Finley of the Sands,Zephrys the Great,Coldlight Seer,Murloc Warleader,Nightmare Amalgam,Murloc Tastyfin,Prismatic Lens,Spellbreaker,Truesilver Champion,Faceless Corruptor,Tip the Scales,Dragonqueen Alexstrasza,,,,,,,,,,,,,811.5,Paladin
